,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
10,9,34,9_model_streamflow_runoff_future,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,33,10_community_arctic_indigenous_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,31,11_ski_tourism_snowmaking_snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,27,12_energy_emission_carbon_aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,25,13_coastal_shoreline_coastline_sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,23,14_seed_seedling_origin_strain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,21,15_country_action_case_finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,20,16_design_energy_building_house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,19,17_temperature_degree_global_agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18,19,18_trend_rainfall_station_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,17,19_municipal_city_planning_municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,15,20_water_stakeholder_story_policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,14,21_lake_water_evaporation_change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22,13,22_reservoir_rule_hydropower_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,13,23_city_street_urban_green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24,12,24_fluvial_holocene_glacial_similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,25,11,25_roof_green_pipe_infiltration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26,10,26_option_watershed_streamflow_dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,27,10,27_permafrost_peatland_mountain_stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
