index,title,year,wos,en,link,abstract,citations
7580,Robust adaptation to climate change,2010,WOS:000279864300008,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000279864300008"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,29
7690,Adaptation to Climate Change in Preindustrial Iceland,2012,WOS:000304262000042,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000304262000042"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,9
7691,SOCIOCULTURAL ASPECTS OF ADAPTATION TO CLIMATE CHANGE,2010,WOS:000278957500021,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000278957500021"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,2
7698,Health in National Climate Change Adaptation Planning,2015,WOS:000365590300015,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000365590300015"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,22
7769,Adapting to climate change in the agricultural sector,2015,WOS:000366112300005,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000366112300005"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
7776,Adapting to climate change: some observations,2004,WOS:000189377100008,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000189377100008"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,6
7790,Climate Change Adaptation Planning for Small Water Systems,2015,WOS:000377053000007,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000377053000007"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,13
7812,Recent Developments in Coastal Adaptation to Climate Change,2013,WOS:000329947600005,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000329947600005"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,19
7848,"Would science serve decision-making to adapt the impact of climate change? Introduction to Climate Change Adaptation - scientific evidence, assessment framework and decision-making",2017,WOS:000400079400001,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000400079400001"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,13
7890,Climate Variability and Change: Impacts On Water Availability(dagger),2016,WOS:000374692600002,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000374692600002"" rel=""noopener noreferrer"" target=""_blank"">link</a>","Climate change adaptation is an important issue for water and food security but also to sustainable development in the future. How the weather and climate elements will change in the future under climate change conditions will determine the long-term sustainability of water supplies for food production in many areas. Therefore, it is critical to address the issue of climate variability and change on the impacts on water availability. This paper highlights the following topics: latest scientific understanding on climate change; efforts being made by World Meteorological Organization (WMO) through its network of National Hydrological and Meteorological Services in delivering science based services; establishment of the Global Framework for Climate Services (GFCS) which has been established by the WMO in collaboration with other international agencies to provide climate information and services; and need for broader collaboration and cooperation among different development sectors at global as well as regional and national levels. ICID and its members were urged to establish linkages at the global, regional and national levels to ensure that climate information and services reach their audiences for the betterment of humanity. It was stressed that the various ICID and WMO communities can make a difference by working together. Copyright (c) 2016 John Wiley & Sons, Ltd. Resume L'adaptation au changement climatique est une question importante pour l'eau et la securite alimentaire, mais aussi pour le developpement durable dans l'avenir. Les elements meteorologiques et climatiques vont impacter a long terme l'approvisionnement en eau pour la production alimentaire, et de nombreux autres domaines. Par consequent, il est essentiel d'aborder la question de l'impact du changement climatique sur la variabilite et la disponibilite de l'eau. Ce document met en evidence les themes suivants ; dernieres connaissances scientifiques sur le changement climatique ; efforts deployes par l'Organisation meteorologique mondiale (OMM) a travers son reseau de National de Services Hydrologiques et Meteorologiques dans la prestation de services scientifiques ; mise en place du cadre mondial pour les services climatologiques (CMSC), qui a ete etabli par l'OMM en collaboration avec d'autres organismes internationaux pour fournir des informations et des services climatologiques ; necessite d'une collaboration et de cooperation plus large entre les differents secteurs de developpement au niveau mondial ainsi que les niveaux regionaux et nationaux. La CIID et ses membres ont ete invites a etablir des liens aux niveaux mondial, regional et national pour assurer que l'information climatique et les services atteignent leur public pour le bien de l'humanite. Il a ete souligne que les diverses communautes de CIID et de l'OMM peuvent faire une difference en travaillant ensemble. Copyright (c) 2016 John Wiley & Sons, Ltd.",5
7899,Farming along desire lines: Collective action and food systems adaptation to climate change,2020,WOS:000647695600014,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000647695600014"" rel=""noopener noreferrer"" target=""_blank"">link</a>","We examine collective action in the food system of the Canadian Maritimes to determine its effect on the resilience and adaptive capacity of food producers, distributors, retailers and governance institutions. Our data suggest that beyond their immediate benefits for their participants, expressions of collective action generate higher-level impacts which often translate into drivers of adaptive capacity. Drawing on a metaphor from urban design, we suggest that collective action should be considered a desire line for food systems adaptation: rather than building adaptation strategies based on top-down design, collective action emerges from farmers' needs and capacities to build financial resilience, enhance human and social capital and strengthen institutional agency within the system. Resume Nous examinons l'action collective dans le systeme alimentaire des provinces maritimes du Canada afin de determiner son effet sur la resilience et la capacite adaptive des producteurs agricoles, des distributeurs, des vendeurs, et des institutions gouvernementales. Les donnees collectees suggerent que, mis a part ses benefices immediats pour les participants, l'action collective genere des impacts secondaires qui se traduisent souvent en elements conducteurs pour la capacite adaptive. Inspires par le design urbain, nous suggerons donc que l'action collective peut agir comme ligne du desir pour l'adaptation des systemes alimentaires. Plutot que de batir des strategies d'adaptation descendantes, l'action collective emerge des besoins des agriculteurs ainsi que de leurs capacites a etablir la resilience financiere, ameliorer le capital humain et social, et renforcer leurs capacites d'action et de decision parmi les institutions existantes. A free Plain Language Summary can be found within the Supporting Information of this article. A free Plain Language Summary can be found within the Supporting Information of this article.",97
7957,Adaptation to Climate Change in different Areas,2021,WOS:000744571200005,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000744571200005"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
8001,The National Plan for Adaptation to Climate Change 2021-2030,2022,WOS:000832388500028,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000832388500028"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,4
8017,Climate Change Adaptation and Traditional Cultures in Northern Russia,2017,WOS:000411909300005,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000411909300005"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
8023,Adapting to climate change: an evolving research programme,2010,WOS:000277936900014,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000277936900014"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
8094,Nature-based solutions promote climate change adaptation safeguarding ecosystem services,2022,WOS:000806235200002,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000806235200002"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,72
8157,Conservation practices to mitigate and adapt to climate change,2011,WOS:000293048700006,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000293048700006"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,48
8162,River Restoration combines Flood Protection with Climate Change Adaptation,2018,WOS:000443717000011,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000443717000011"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
8188,Debate: Can local government drive adaptation to climate change?,2013,WOS:000327757500007,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000327757500007"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,8
8190,How can cities mitigate and adapt to climate change?,2004,WOS:000189377100007,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000189377100007"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,17
8201,Editorial: Assessment and adaptation to climate change impacts in cold regions,nan,WOS:000715964800001,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000715964800001"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,9
8248,Adaptation to Climate Change - Potentials of Social Science Research in Germany,2011,WOS:000292758000003,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000292758000003"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,28
8267,VisAdapt: A Visualization Tool to Support Climate Change Adaptation,2017,WOS:000398607300008,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000398607300008"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,22
8288,A sustainable flywheel: opportunities from insurance' business to support nature-based solutions for climate adaptation,2020,WOS:000584305600001,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000584305600001"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,21
8313,Water-related disaster management and adaptation to climate change: bridges and challenges?,2013,WOS:000314208300004,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000314208300004"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,14
8317,"Adapting to Climate Change: Rising Sea Levels, Limiting Risks",2015,WOS:000367398100008,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000367398100008"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,2
8348,Synergy of experts ? and farmers ? responses in climate -change adaptation planning in Serbia,2020,WOS:000540278400010,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000540278400010"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,57
8381,"Climate change, adaptation and government policy for the building sector",2004,WOS:000189377100009,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000189377100009"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,17
8389,Preface to Climate Change Adaptation in New York City: Building a Risk Management Response,2010,WOS:000288657300002,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000288657300002"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
8412,Best Practices for Cost-Efficient Coastal Climate Change Adaptation After Damaging Storms,2014,WOS:000349464600002,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000349464600002"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,2
8427,GLACIER RETREAT Reviewing the Limits of Human Adaptation to Climate Change,2009,WOS:000265967100004,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000265967100004"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,50
8440,"REGREENING AFRICA In the dry Sahel, farmers are already adapting to climate change",2009,WOS:000272213200013,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000272213200013"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
8448,Introduction to Climate Change Adaptation in New York City: Building a Risk Management Response,2010,WOS:000288657300004,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000288657300004"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
8480,Calibrated methodology for assessing climate change adaptation costs for urban drainage systems,2016,WOS:000371912500001,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000371912500001"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,30
8523,ADAPTING TO CLIMATE CHANGE - A STUDY OF INTERNATIONAL RIVERS AND THEIR LEGAL ARRANGEMENTS,1990,WOS:A1990ET70200003,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:A1990ET70200003"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,148
8564,Systematic Rearrangement of City Streets: Adapting to Climate Change with Multifunctional Climate Responsive Street Gardens,2021,WOS:000669962400005,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000669962400005"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,35
8565,"Convergence in Adaptation to Climate Change: Evidence from High Temperatures and Mortality, 1900-2004",2015,WOS:000357929400045,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000357929400045"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,7
8569,Forewords to Climate Change Adaptation in New York City: Building a Risk Management Response,2010,WOS:000288657300001,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000288657300001"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
8574,Climate change adaptation and development I: the state of the debate,2010,WOS:000289296500005,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000289296500005"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,32
8592,Climate change adaptation measures - an analysis of proposals from forestry and nature conservation,2012,WOS:000311704000002,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000311704000002"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,83
8610,The Infinity of Water: Climate Change Adaptation in the Arabian Peninsula,2016,WOS:000374718000006,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000374718000006"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,46
8674,Climate change adaptation for livestock production in southern Australia: transdisciplinary approaches for integrated solutions,2021,WOS:000713795200005,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000713795200005"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,25
8700,Understanding utility disincentives to water conservation as a means of adapting to climate change pressures,2014,WOS:000329764700015,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000329764700015"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,29
8713,Wading past assumptions: Gender dimensions of climate change adaptation in coastal communities of the Philippines,2018,WOS:000440119600004,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000440119600004"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,45
8730,Crop Diversity: Neolithic Foundations for Agriculture's Future Adaptation to Climate Change,2008,WOS:000261650900006,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000261650900006"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,18
8830,"Vulnerability and adaptation to climate change of selected community-based forest management areas in Oas, Albay, Philippines",2014,WOS:000337766500015,False,"<a href=""https://www.webofscience.com/wos/woscc/full-record/WOS:000337766500015"" rel=""noopener noreferrer"" target=""_blank"">link</a>",,0
