,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
10,9,68,9_health_public_disease_impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,64,10_coastal_planning_sea_rise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,60,11_narrative_social_story_knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,53,12_gender_woman_inequality_equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,52,13_justice_responsibility_injustice_principle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,49,14_indigenous_knowledge_people_community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,49,15_policy_local_level_mainstreaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,48,16_land_use_model_ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,46,17_scenario_process_decision_stakeholder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18,42,18_learning_governance_social_process,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,39,19_science_knowledge_scientist_researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,36,20_sids_island_small_caribbean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,36,21_risk_infrastructure_assessment_ic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22,35,22_uncertainty_decision_making_option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,33,23_forest_management_ecosystem_manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24,27,24_migration_migrant_relocation_mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,25,26,25_business_private_sector_smes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26,25,26_heritage_cultural_site_preservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,27,24,27_bangladesh_neld_policy_community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,28,23,28_fund_finance_country_af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,29,20,29_resilience_ecological_fishery_capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,30,18,30_barrier_limit_mechanism_study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,31,16,31_household_livelihood_vulnerability_poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,32,16,32_network_social_ci_organizational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,33,12,33_development_eta_napa_icts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,34,12,34_tourism_destination_sector_product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35,11,35_cba_community_project_based,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,36,10,36_transformation_transformational_transition_transformative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
