,Topic,Count,Name,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
10,9,32,9_planning_local_state_plan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10,32,10_water_model_basin_reservoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11,31,11_uncertainty_decision_making_risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12,31,12_land_model_use_crop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13,30,13_decision_making_user_support,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14,29,14_forest_management_ecosystem_carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15,28,15_learning_social_process_approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,27,16_resilience_disaster_concept_social,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,26,17_gender_woman_equality_agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,18,25,18_indigenous_knowledge_people_community,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19,24,19_energy_carbon_emission_building,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20,17,20_ecosystem_service_eba_riparian,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21,16,21_risk_assessment_maladaptation_hazard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22,15,22_bangladesh_mainstreaming_neld_making,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23,13,23_conservation_site_heritage_monitoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24,13,24_coastal_protection_option_sea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,25,12,25_migration_displacement_environmental_mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,26,10,26_scenario_aviation_stakeholder_case,,,,,,,,,,,,,,,,,,,,,,,,,,,,
